                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.95858,                  2.683,                0.29885,                0.80171,                 1.1552,                0.85128,                0.78007,                0.87325,                0.63286,                0.80843,                0.67896,                0.72524,                0.39936,                0.97179,                  2.725,                0.29578,                0.77083,                  1.139,              0.0033324,              0.0033324,              0.0033324
                      1,                 1.0853,                 3.4811,                0.33712,                0.95839,                 1.2344,                0.81877,                0.73914,                0.83703,                 0.5875,                0.77271,                0.62264,                0.66179,                0.33219,                  1.052,                 3.2462,                 0.3282,                0.90813,                 1.2002,              0.0065997,              0.0065997,              0.0065997
                      2,                  1.204,                 4.1908,                0.37341,                 1.1119,                 1.3115,                0.78741,                 0.7213,                0.80996,                0.54621,                0.72231,                 0.5699,                0.58836,                 0.2636,                 1.1337,                 3.7256,                0.36573,                0.99491,                 1.2706,              0.0098011,              0.0098011,              0.0098011
                      3,                 1.2464,                 4.4181,                0.39163,                 1.1776,                 1.3423,                0.82761,                0.73347,                0.83631,                0.57722,                0.75928,                0.61872,                0.64622,                0.31823,                 1.0812,                 3.4246,                0.35512,                0.92325,                 1.2292,               0.009703,               0.009703,               0.009703
                      4,                 1.2038,                 4.1723,                0.38166,                 1.1265,                 1.3163,                0.81743,                0.74789,                0.84241,                0.59136,                0.77933,                0.62689,                0.66118,                0.33801,                  1.033,                 3.2225,                0.34394,                0.89161,                 1.2006,               0.009703,               0.009703,               0.009703
                      5,                  1.176,                 4.0158,                0.37493,                 1.0915,                 1.2999,                0.83488,                0.76134,                0.85568,                 0.6131,                0.78748,                0.65192,                0.69047,                0.36154,                 1.0041,                 3.0487,                 0.3384,                0.84415,                 1.1789,               0.009604,               0.009604,               0.009604
                      6,                  1.158,                 3.9043,                0.37025,                 1.0639,                 1.2863,                0.84124,                0.75819,                0.86137,                0.61963,                0.79296,                0.64594,                0.69319,                0.37682,                0.98386,                 2.9485,                0.33285,                0.82128,                 1.1624,               0.009505,               0.009505,               0.009505
                      7,                  1.144,                  3.835,                 0.3668,                 1.0481,                 1.2794,                0.84961,                0.76763,                0.86808,                0.62939,                0.80037,                0.66483,                0.70981,                0.39253,                0.97293,                  2.889,                0.32801,                0.80809,                 1.1538,               0.009406,               0.009406,               0.009406
                      8,                 1.1359,                 3.7683,                0.36254,                 1.0338,                 1.2716,                0.84203,                0.77849,                0.87199,                0.63747,                0.79791,                0.66782,                0.71439,                 0.4003,                0.95617,                 2.8038,                0.32361,                0.78647,                 1.1431,               0.009307,               0.009307,               0.009307
                      9,                 1.1277,                 3.7359,                0.35941,                 1.0244,                 1.2668,                0.84377,                0.77739,                0.87372,                0.64036,                0.80156,                0.67396,                0.72272,                0.40722,                0.94661,                 2.7329,                0.31938,                0.77584,                 1.1374,               0.009208,               0.009208,               0.009208
                     10,                 1.1183,                 3.6756,                0.35701,                 1.0112,                  1.262,                0.84829,                0.78149,                0.87678,                0.64472,                   0.81,                0.68309,                0.73375,                0.41742,                0.93819,                  2.698,                0.31775,                 0.7645,                 1.1319,               0.009109,               0.009109,               0.009109
